Episode_ID,Season,Episode,Rating,Votes
324,1,324,8.2,1371
325,1,325,9.3,3775
326,1,326,6.7,865
327,1,327,6.3,875
328,1,328,6.4,869
329,1,329,6.5,854
330,1,330,6.3,835
331,1,331,6.4,827
332,1,332,6.5,827
333,1,333,6.3,831
334,1,334,6.6,816
335,1,335,6.6,824
336,1,336,5.2,1133
337,1,337,8.2,1373
338,1,338,8.1,1242
339,1,339,7.5,1120
340,1,340,7.5,1099
341,1,341,7.6,1117
342,1,342,7.5,1110
343,1,343,7.6,1069
344,1,344,7.5,1102
345,1,345,7.0,1065
346,1,346,7.5,1055
347,1,347,7.4,1052
348,1,348,7.7,1076
349,1,349,7.8,1084
350,1,350,7.7,1065
351,1,351,7.5,1059
352,1,352,7.6,1065
353,1,353,8.3,1231
354,1,354,7.2,1064
355,1,355,7.6,1064
356,1,356,7.7,1058
357,1,357,7.8,1090
358,1,358,7.6,1057
359,1,359,7.5,1093
360,1,360,7.7,1077
361,1,361,7.8,1098
362,1,362,8.2,1233
363,1,363,7.6,1056
364,1,364,7.2,1052
365,1,365,7.5,1047
366,1,366,7.4,1048
367,1,367,8.0,1124
368,1,368,7.9,1125
369,1,369,8.1,1132
370,1,370,7.9,1119
371,1,371,8.0,1126
372,1,372,9.0,2971
373,1,373,8.9,2686
374,1,374,8.5,1637
375,1,375,8.2,1354
376,1,376,9.1,3301
377,1,377,9.8,65062
378,1,378,8.3,1419
379,1,379,8.2,1282
380,1,380,9.3,3945
381,1,381,8.3,1265
382,1,382,6.3,854
383,1,383,6.3,850
384,1,384,7.3,933
385,1,385,7.5,1113
386,1,386,7.4,1076
387,1,387,7.3,1062
388,1,388,7.6,1074
389,1,389,7.7,1098
390,1,390,7.6,1188
391,1,391,7.9,1396
392,1,392,8.3,1613
393,1,393,8.2,1532
394,1,394,8.1,1436
395,1,395,8.3,1586
396,1,396,9.7,16459
397,1,397,9.3,4365
398,1,398,9.1,3236
399,1,399,9.1,3233
400,1,400,9.4,4508
401,1,401,9.1,3211
402,1,402,9.1,3284
403,1,403,9.2,3374
404,1,404,9.6,6901
405,1,405,9.8,55792
406,1,406,5.6,997
407,1,407,5.6,981
408,1,408,7.5,1213
409,1,409,7.7,1268
410,1,410,7.7,1259
411,1,411,7.8,1378
412,1,412,8.3,1835
413,1,413,8.9,2906
414,1,414,8.7,1997
415,1,415,8.9,2679
416,1,416,8.6,1916
417,1,417,8.5,1941
418,1,418,7.4,1053
419,1,419,6.9,1060
420,1,420,7.4,1032
421,1,421,7.5,1041
422,1,422,7.9,1096
423,1,423,7.9,1128
424,1,424,7.8,1063
425,1,425,7.7,1057
426,1,426,6.4,805
427,1,427,6.2,798
428,1,428,6.2,798
429,1,429,6.2,792
430,1,430,7.8,1057
431,1,431,7.6,1023
432,1,432,7.9,1130
433,1,433,8.0,1232
434,1,434,7.6,1080
435,1,435,8.1,1352
436,1,436,8.3,1480
437,1,437,8.1,1505
438,1,438,7.5,1076
439,1,439,7.2,1114
440,1,440,7.8,1145
441,1,441,7.9,1119
442,1,442,8.2,1168
443,1,443,8.2,1157
444,1,444,8.2,1225
445,1,445,7.7,1081
446,1,446,8.4,1452
447,1,447,9.0,3310
448,1,448,7.9,1291
449,1,449,8.2,1334
450,1,450,8.9,2684
451,1,451,9.3,4023
452,1,452,7.9,1199
453,1,453,7.0,1010
454,1,454,6.2,1079
455,1,455,7.0,992
456,1,456,7.0,1011
457,1,457,6.7,970
458,1,458,6.7,1078
459,1,459,9.2,3942
460,1,460,9.3,3873
461,1,461,9.3,4258
462,1,462,9.2,3671
463,1,463,9.3,3837
464,1,464,9.2,3622
465,1,465,9.4,4022
466,1,466,9.5,5055
467,1,467,9.4,4137
468,1,468,9.3,3719
469,1,469,9.1,3704
470,1,470,9.2,3674
471,1,471,9.2,3508
472,1,472,9.3,3822
473,1,473,9.2,3579
